A,8.4966,0,0
B,2.072,8.4966,8.2894
C,4.5388,10.5686,10.11472
D,3.3844,15.1074,14.76896
E,11.1607,18.4918,17.37573
F,1.8121,29.6525,29.47129
G,2.4705,31.4646,31.21755
H,3.0034,33.9351,33.63476
I,7.5448,36.9385,36.18402
J,0.1965,44.4833,44.46365
K,1.1016,44.6798,44.56964
L,5.4893,45.7814,45.23247
M,3.0129,51.2707,50.96941
N,6.6544,54.2836,53.61816
O,7.1635,60.938,60.22165
P,3.1671,68.1015,67.78479
Q,0.1962,71.2686,71.24898
R,7.5809,71.4648,70.70671
S,5.7351,79.0457,78.47219
T,6.9509,84.7808,84.08571
U,3.6308,91.7317,91.36862
V,1.0074,95.3625,95.26176
W,1.2899,96.3699,96.24091
X,0.2902,97.6598,97.63078
Y,1.7779,97.95,97.77221
Z,0.2722,99.7279,99.70068
